Música,Valores
Oasis - Stand By Me,4339.12
Pink Floyd - Us And Them,327.462
Legiao Urbana - Que Pais E Este,1061.54
Legiao Urbana - Sera,1058.28
Linkin Park - Invisible,1871.12
Pink Floyd - Any Colour You Like,599.255
Legiao Urbana - Faroeste Caboclo,721.484
Linkin Park - Talking to Myself,2599.86
Legiao Urbana - Tempo Perdido,951.35
Linkin Park - Nobody Can Save Me,3154.67
Linkin Park - Sorry for Now,1974.14
Oasis - She's Electric,4296.66
Pink Floyd - On The Run,217.703
Pink Floyd - The Great Gig In The Sky,344.091
Pink Floyd - Eclipse,862.891
Pink Floyd - Money,665.076
Linkin Park - One More Light,1839.61
Oasis - Don't Go Away,2810.4
Linkin Park - Sharp Edges,3106.28
Legiao Urbana - Pais e Filhos,719.495
Oasis - Don't Look Back in Anger,5055.11
Pink Floyd - Wish You Were Here,397.845
Pink Floyd - Have a Cigar,1080.96
Linkin Park - Halfway Right,1949.12
Pink Floyd - Speak To Me - Breathe,252.435
Pink Floyd - Brain Damage,307.926
Pink Floyd - Time,534.209
Linkin Park - Good Goodbye (feat. Pusha T & Stormzy),3133.64
Oasis - Half the World Away,1300.78
Linkin Park - Heavy (feat. Kiiara),2035.83
Pink Floyd - Comfortably Numb,616.529
Oasis - Wonderwall,3121.87
Linkin Park - Battle Symphony,3662.44
